,op,target,args,kwargs,shape,latency
97,call_method,size,"(transformer_h_0_ln_2, -1)",{},,0.00095367431640625
98,call_method,view,"(transformer_h_0_ln_2, -1, size_15)",{},"[1024, 2560]",0.0072956085205078125
99,get_attr,transformer.h.0.mlp.c_fc.weight,(),{},"[2560, 10240]",0.0
100,call_function,<built-in method addmm of type object at 0x7bc135e97aa0>,"(transformer_h_0_mlp_c_fc_bias, view_10, transformer_h_0_mlp_c_fc_weight)",{},"[1024, 10240]",785.748553276062
101,call_method,view,"(addmm_2, add_10)",{},"[1, 1024, 10240]",0.0029087066650390625
102,call_function,<built-in function mul>,"(0.5, view_11)",{},"[1, 1024, 10240]",26.84473991394043
103,call_function,<built-in method pow of type object at 0x7bc135e97aa0>,"(view_11, 3.0)",{},"[1, 1024, 10240]",30.1893949508667
104,call_function,<built-in function mul>,"(0.044715, pow_2)",{},"[1, 1024, 10240]",28.8801908493042
105,call_function,<built-in function add>,"(view_11, mul_1)",{},"[1, 1024, 10240]",32.0401668548584
106,call_function,<built-in function mul>,"(0.7978845608028654, add_11)",{},"[1, 1024, 10240]",29.643821716308594
107,call_function,<built-in method tanh of type object at 0x7bc135e97aa0>,"(mul_2,)",{},"[1, 1024, 10240]",53.797125816345215
108,call_function,<built-in function add>,"(1.0, tanh)",{},"[1, 1024, 10240]",30.103302001953125
109,call_function,<built-in function mul>,"(mul, add_12)",{},"[1, 1024, 10240]",38.34891319274902
110,call_method,size,"(mul_3,)",{},,0.0008821487426757812
111,call_function,<built-in function getitem>,"(size_16, slice(None, -1, None))",{},,0.0006198883056640625
112,call_function,<built-in function add>,"(getitem_15, (2560,))",{},,0.0005960464477539062
113,get_attr,transformer.h.0.mlp.c_proj.bias,(),{},[2560],0.0
114,call_method,size,"(mul_3, -1)",{},,0.0006437301635742188
115,call_method,view,"(mul_3, -1, size_17)",{},"[1024, 10240]",0.0044345855712890625
116,get_attr,transformer.h.0.mlp.c_proj.weight,(),{},"[10240, 2560]",0.0
117,call_function,<built-in method addmm of type object at 0x7bc135e97aa0>,"(transformer_h_0_mlp_c_proj_bias, view_12, transformer_h_0_mlp_c_proj_weight)",{},"[1024, 2560]",771.5468883514404
118,call_method,view,"(addmm_3, add_13)",{},"[1, 1024, 2560]",0.009226799011230469
119,call_module,transformer.h.0.mlp.dropout,"(view_13,)",{},"[1, 1024, 2560]",12.927985191345215
120,call_function,<built-in function add>,"(add_9, transformer_h_0_mlp_dropout)",{},"[1, 1024, 2560]",2.494645118713379
121,call_module,transformer.ln_f,"(add_14,)",{},"[1, 1024, 2560]",5.361127853393555
122,call_method,view,"(transformer_ln_f, add_2)",{},"[1, 1024, 2560]",0.0037431716918945312
123,call_module,lm_head,"(view_14,)",{},"[1, 1024, 50257]",4091.5608644485474
124,output,output,"({'logits': lm_head, 'past_key_values': ((permute_1, permute_2),)},)",{},,0.0
