Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 3072, 1024]",C,2.708937776473682,877.2857142857143,0.054686243872611465,59881.437040509554,6439.305216,1.0,3.0,3.0,7.0,117.75,59881.437040509554,22105.135658914725
Logit,"[1, 16, 1024, 1024, 64]",M,0.17566507428905306,56.888888888888886,0.05191029900332226,56841.77740863788,1073.741824,1.0,1.0,16.0,18.0,20.684562497536,9985.11505121019,56841.77740863788
Attend,"[1, 16, 1024, 1024, 64]",C,1.5809856686014776,56.888888888888886,0.009118826530785561,9985.11505121019,1073.741824,16.0,1.0,1.0,18.0,117.75,9985.11505121019,6315.753045404208
SoftMax,"[16384, 1024]",M,0.07719355035882804,12.49951171875,0.04614248800295312,50526.024363233664,419.414016,16.0,0.0,16.0,32.0,9.089540554752,3900.28320611465,50526.024363233664
GEMM,"[1, 1024, 1024, 1024]",C,2.106951603923975,682.3333333333334,0.018228747957537157,19960.479013503187,2146.435072,1.0,1.0,1.0,3.0,117.75,19960.479013503187,9473.629568106311
GEMM,"[1, 1024, 4096, 1024]",C,2.8092688052319663,909.7777777777778,0.07291499183014863,79841.91605401275,8585.740288,1.0,4.0,4.0,9.0,117.75,79841.91605401275,28420.88870431894
GEMM,"[1, 1024, 1024, 4096]",C,2.8102980927766286,910.1111111111111,0.07294170714225054,79871.16932076434,8588.886016,4.0,4.0,1.0,9.0,117.74999999999999,79871.16932076434,28420.88870431894
