Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 128, 512]",C,1.1486848998432613,186.0,0.001138740178343949,1246.9204952866241,134.086656,0.5,0.0625,0.125,0.6875,117.75,1246.9204952866241,1085.5200546788483
GEMM,"[1, 128, 256, 128]",M,0.6299239773334013,102.0,0.00011265255860095975,123.35455166805093,8.35584,0.015625,0.03125,0.03125,0.078125,74.173548331008,77.7039898089172,123.35455166805093
GEMM,"[1, 1024, 512, 256]",C,1.8033117782485606,292.0,0.0022752540806794054,2491.403218343949,267.911168,0.25,0.125,0.5,0.875,117.75,2491.403218343949,1381.5709786821703
