Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
layer_norm,"[64, 512, 4096]",M,0.024874530343384618,8.0042724609375,0.7382798080472499,808416.3898117386,2148.630528,128.0,0.0,128.0,256.0,2.910320050176,20108.97801846154,808416.3898117386
attention,"[64, 512, 4096, 4096]",C,34.83781181474915,11210.315686715277,30.54256296051282,33444106.44176154,3573479.86638,128.0,48.0,128.0,304.0,117.0,33444106.44176154,959994.4629014395
GEMM,"[64, 512, 11008, 4096]",C,17.002828162212115,5471.269902912622,25.25279307268376,27651808.41458872,2954576.789504,128.0,43.0,344.0,515.0,117.0,27651808.41458872,1626306.4091915837
GEMM,"[64, 512, 4096, 4096]",C,11.978736666948343,3854.5882352941176,9.396388120068375,10289044.99147487,1099377.410048,128.0,16.0,128.0,272.0,117.0,10289044.99147487,858942.4141749723
layer_norm,"[64, 512, 4096]",M,0.024874530343384618,8.0042724609375,0.7382798080472499,808416.3898117386,2148.630528,128.0,0.0,128.0,256.0,2.910320050176,20108.97801846154,808416.3898117386
SoftMax,"[32768, 4096]",M,0.03884532846276923,12.4998779296875,0.7382798080472499,808416.3898117386,3355.410432,128.0,0.0,128.0,256.0,4.544903430144,31403.200196923073,808416.3898117386
