softmax1,"[512, 0, 512]",12798
softmax2,"[1270, 0, 1270]",31496
ln1,"[8192, 0, 8192]",131632
ln2,"[1048576, 0, 1048576]",16813056
gemm1,"[16384, 256, 4096]",258048
gemm2,"[65536, 32768, 131072]",33423360
attn1,"[98304, 36864, 73728]",138902796
attn2,"[3072, 13824, 98304]",109707020
