Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 128, 512]",M,0.2871712249608153,186.0,0.003965370062753783,4342.080218715393,134.086656,0.5,0.0625,0.125,0.6875,33.814411739136006,1246.9204952866241,4342.080218715393
GEMM,"[1, 128, 256, 128]",M,0.15748099433335033,102.0,0.000450610234403839,493.4182066722037,8.35584,0.015625,0.03125,0.03125,0.078125,18.543387082752,77.7039898089172,493.4182066722037
GEMM,"[1, 1024, 512, 256]",M,0.45082794456214015,292.0,0.0050468346253229966,5526.283914728681,267.911168,0.25,0.125,0.5,0.875,53.08499047219201,2491.403218343949,5526.283914728681
