Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 128, 512]",C,1.1486848998432613,186.0,0.002277480356687898,2493.8409905732483,134.086656,0.5,0.0625,0.125,0.6875,58.875,2493.8409905732483,2171.0401093576966
GEMM,"[1, 128, 256, 128]",M,0.6299239773334013,102.0,0.0002253051172019195,246.70910333610186,8.35584,0.015625,0.03125,0.03125,0.078125,37.086774165504,155.4079796178344,246.70910333610186
GEMM,"[1, 1024, 512, 256]",C,1.8033117782485606,292.0,0.004550508161358811,4982.806436687898,267.911168,0.25,0.125,0.5,0.875,58.875,4982.806436687898,2763.1419573643407
