Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
layer_norm,"[4, 1, 2048]",M,0.006449332223999999,8.008544921875,0.002393535539215686,1495.959712009804,0.131212,0.0078125,0.0,0.0078125,0.015625,0.054819323904,9.647941176470587,1495.959712009804
attention,"[4, 1, 12288, 2048]",M,0.006437562923355956,7.993930234705356,11.037789139093139,6898618.211933212,603.979928,0.0078125,72.0,0.046875,72.0546875,0.05471928484852563,44410.28882352941,6898618.211933212
GEMM,"[4, 1, 49152, 2048]",M,0.006427800686026151,7.981807845366686,14.735801547181374,9209875.966988359,805.10976,0.0078125,96.0,0.1875,96.1953125,0.054636305831222275,59199.24705882354,9209875.966988359
GEMM,"[4, 1, 12288, 2048]",M,0.006426234966469633,7.97986359207535,3.6848479626225497,2303029.9766390934,201.27744,0.0078125,24.0,0.046875,24.0546875,0.05462299721499188,14799.811764705884,2303029.9766390934
layer_norm,"[4, 1, 2048]",M,0.006449332223999999,8.008544921875,0.002393535539215686,1495.959712009804,0.131212,0.0078125,0.0,0.0078125,0.015625,0.054819323904,9.647941176470587,1495.959712009804
SoftMax,"[4, 4096]",M,0.010066231296,12.4998779296875,0.004787071078431372,2991.919424019608,0.409596,0.015625,0.0,0.015625,0.03125,0.085562966016,30.117352941176474,2991.919424019608
