Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
layer_norm,"[4, 512, 4096]",M,0.006445891584,8.0042724609375,2.4509803921568625,1531862.7450980393,134.289408,8.0,0.0,8.0,16.0,0.054790078464,9874.221176470588,1531862.7450980393
attention,"[4, 512, 4096, 4096]",C,2.68010989992,3328.062469661236,26.275587254117646,16422242.03382353,223342.49166,8.0,48.0,8.0,64.0,8.5,16422242.03382353,6127450.980392157
GEMM,"[4, 512, 11008, 4096]",C,1.9561335985681652,2429.055172413793,21.724829334588232,13578018.334117645,184661.049344,8.0,43.0,21.5,72.5,8.500000000000002,13578018.334117645,6941253.06372549
GEMM,"[4, 512, 4096, 4096]",C,1.6490661150719998,2047.75,8.083657426823528,5052285.891764706,68711.088128,8.0,16.0,8.0,32.0,8.500000000000002,5052285.891764706,3063725.4901960786
layer_norm,"[4, 512, 4096]",M,0.006445891584,8.0042724609375,2.4509803921568625,1531862.7450980393,134.289408,8.0,0.0,8.0,16.0,0.054790078464,9874.221176470588,1531862.7450980393
SoftMax,"[2048, 4096]",M,0.010066231296,12.4998779296875,2.4509803921568625,1531862.7450980393,209.713152,8.0,0.0,8.0,16.0,0.085562966016,15420.084705882355,1531862.7450980393
