Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
SoftMax,"[2, 256]",M,0.038839638173538464,12.498046875,2.816313965023994e-06,3.0838637917012734,0.012798,0.00048828125,0.0,0.00048828125,0.0009765625,4.544237666304,0.11977615384615384,3.0838637917012734
SoftMax,"[254, 5]",M,0.03853494215286154,12.4,6.985778780430611e-06,7.649427764571519,0.031496,0.0012111663818359375,0.0,0.0012111663818359375,0.002422332763671875,4.5085882318848,0.2947702564102564,7.649427764571519
layer_norm,"[2, 8, 512]",M,0.024967471734153847,8.0341796875,4.5061023440383906e-05,49.341820667220375,0.131632,0.0078125,0.0,0.0078125,0.015625,2.921194192896,1.231940512820513,49.341820667220375
layer_norm,"[8, 128, 1024]",M,0.024914362368,8.01708984375,0.00576781100036914,6315.753045404208,16.813056,1.0,0.0,1.0,2.0,2.914980397056,157.35296,6315.753045404208
GEMM,"[32, 16, 8, 32]",M,0.03867306022509402,12.444444444444445,5.7030357791735876e-05,62.448241781950784,0.258048,0.015625,0.000244140625,0.00390625,0.019775390625,4.524748046336,2.4150646153846154,62.448241781950784
GEMM,"[4, 128, 256, 128]",M,0.45282996539076925,145.71428571428572,0.0006308543281653746,690.7854893410852,33.42336,0.0625,0.03125,0.125,0.21875,52.98110595072001,312.80836923076924,690.7854893410852
attention,"[3, 256, 96, 128]",C,2.0663976057582625,664.9375574448529,0.0011872033846153846,1299.9877061538464,138.902796,0.09375,0.03515625,0.0703125,0.19921875,116.99999999999999,1299.9877061538464,629.1082135070599
attention,"[1, 256, 384, 12]",C,2.959476975150386,952.3178819444445,0.0009376668376068376,1026.7451871794872,109.70702,0.0029296875,0.01318359375,0.09375,0.10986328125,117.0,1026.7451871794872,346.9346765663933
