Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 128, 512]",C,2.2973697996865226,186.0,0.001138740178343949,1246.9204952866241,134.086656,0.5,0.0625,0.125,0.6875,117.75,1246.9204952866241,542.7600273394241
GEMM,"[1, 128, 256, 128]",C,1.2598479546668027,102.0,7.096254777070064e-05,77.7039898089172,8.35584,0.015625,0.03125,0.03125,0.078125,117.75,77.7039898089172,61.677275834025465
GEMM,"[1, 1024, 512, 256]",C,3.606623556497121,292.0,0.0022752540806794054,2491.403218343949,267.911168,0.25,0.125,0.5,0.875,117.75,2491.403218343949,690.7854893410852
