Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 128, 512]",M,0.14358561248040766,186.0,0.0019826850313768916,2171.0401093576966,134.086656,0.5,0.0625,0.125,0.6875,67.62882347827201,311.73012382165604,2171.0401093576966
GEMM,"[1, 128, 256, 128]",M,0.07874049716667517,102.0,0.0002253051172019195,246.70910333610186,8.35584,0.015625,0.03125,0.03125,0.078125,37.086774165504,19.4259974522293,246.70910333610186
GEMM,"[1, 1024, 512, 256]",M,0.22541397228107007,292.0,0.0025234173126614983,2763.1419573643407,267.911168,0.25,0.125,0.5,0.875,106.16998094438402,622.8508045859872,2763.1419573643407
