Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
layer_norm,"[64, 1, 2048]",M,0.024887807684923078,8.008544921875,0.0007209763750461425,789.469130675526,2.099392,0.125,0.0,0.125,0.25,2.911873499136,19.648155897435895,789.469130675526
attention,"[64, 1, 12288, 2048]",M,0.3930040498437303,126.46315125453943,0.21016461332595054,230130.25159191585,9663.678668,0.125,72.0,0.75,72.875,45.98147383171644,90442.12086717949,230130.25159191585
GEMM,"[64, 1, 49152, 2048]",M,0.38514564076630514,123.93442622950819,0.2858671327057955,313024.51031284605,12881.75616,0.125,96.0,3.0,99.125,45.062039969657704,120560.0256,313024.51031284605
GEMM,"[64, 1, 12288, 2048]",M,0.3836940868438191,123.46733668341709,0.07173714931709117,78552.17850221483,3220.43904,0.125,24.0,0.75,24.875,44.89220816072684,30140.0064,78552.17850221483
layer_norm,"[64, 1, 2048]",M,0.024887807684923078,8.008544921875,0.0007209763750461425,789.469130675526,2.099392,0.125,0.0,0.125,0.25,2.911873499136,19.648155897435895,789.469130675526
SoftMax,"[64, 4096]",M,0.03884532846276923,12.4998779296875,0.001441952750092285,1578.938261351052,6.553536,0.25,0.0,0.25,0.5,4.544903430144,61.33437538461538,1578.938261351052
